Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1974-75,23,CLE,NBA,PG,72,NA,1070,5,12.3,0.404,NA,NA,NA,5,12.3,0.404,3.6,5.2,0.684,2.1,4.4,6.5,8.6,3.6,0.3,NA,5.6,13.5,NA,NA,95
1975-76,24,CLE,NBA,PG,81,NA,1280,5.3,13.6,0.388,NA,NA,NA,5.3,13.6,0.388,3.1,4,0.778,2,4.8,6.7,10.6,3.6,0.2,NA,5,13.7,NA,NA,95
1976-77,25,CLE,NBA,PG,62,NA,1216,6.1,13.6,0.45,NA,NA,NA,6.1,13.6,0.45,3.5,4.5,0.774,2.1,4.1,6.2,9.9,3.2,0.2,NA,4.8,15.7,NA,NA,98
1977-78,26,CLE,NBA,PG,81,NA,2496,5.3,11.9,0.448,NA,NA,NA,5.3,11.9,0.448,3,4.1,0.719,1.4,4.1,5.5,8.4,3.3,0.4,3.4,4.1,13.6,NA,100,98
1978-79,27,CLE,NBA,PG,55,NA,1753,5.5,11.9,0.464,NA,NA,NA,5.5,11.9,0.464,3.7,4.7,0.783,1.6,3.7,5.3,8.6,3.5,0.5,3.4,4.1,14.7,NA,106,105
1979-80,28,CLE,NBA,PG,76,NA,2422,4.8,10.7,0.454,0,0.2,0.111,4.8,10.5,0.46,3.7,4.6,0.802,1.5,3.9,5.4,11.4,2.9,0.2,2.9,3.8,13.4,NA,113,106
1980-81,29,NJN,NBA,PG,41,NA,1172,2.8,6.6,0.426,0.1,0.4,0.222,2.7,6.2,0.438,3.4,4.3,0.793,0.9,3.1,4,9.8,2,0,3.3,4.1,9.1,NA,105,108
1981-82,30,NJN,NBA,PG,77,54,1861,3.9,9.5,0.413,0.1,0.2,0.333,3.8,9.2,0.415,3.5,4.9,0.727,0.8,3,3.8,10,3,0.2,2.7,4.5,11.4,NA,108,103
1982-83,31,NJN,NBA,PG,79,10,1388,3.8,8.3,0.456,0.1,0.4,0.167,3.7,7.9,0.471,3.9,5,0.779,1,3.5,4.5,8.8,2.6,0.1,3.5,4.5,11.5,NA,107,101
1983-84,32,NJN,NBA,PG,34,0,378,3.9,11.1,0.356,0.2,0.6,0.4,3.7,10.5,0.353,3,3.3,0.889,1,2.8,3.8,10,2.5,0.4,3.8,4.6,11.1,NA,96,106
Career,NA,,NBA,,658,64,15036,4.8,10.9,0.435,0.1,0.3,0.227,4.7,10.8,0.437,3.4,4.5,0.762,1.4,3.8,5.2,9.6,3.1,0.3,2.4,4.4,13,NA,106,102
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,CLE,NBA,,427,NA,10237,5.3,12.1,0.439,0,0.2,0.111,5.3,12,0.44,3.4,4.5,0.76,1.7,4.1,5.8,9.6,3.3,0.3,2.1,4.4,14,NA,106,100
4 seasons,NA,NJN,NBA,,231,64,4799,3.6,8.5,0.422,0.1,0.3,0.257,3.5,8.2,0.428,3.6,4.6,0.767,0.9,3.2,4,9.6,2.6,0.1,3.1,4.4,10.8,NA,106,104
