,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,19,SAC,NBA,SF,54,430,.429,6.2,.960,.594,.126,.057,.183,.040,.446,.558,.182,.300,.313,.000,.560,.194,27,,.286,.000,0,0
2002-03,20,SAC,NBA,SF,47,571,.492,6.8,.978,.585,.087,.033,.273,.022,.497,.645,.375,.167,.260,.250,.685,.197,30,1.000,.500,.500,0,0
2003-04,21,SAC,NBA,SF,37,337,.360,9.7,.978,.427,.079,.067,.404,.022,.368,.421,.286,.333,.333,.000,.563,.056,2,,.500,.000,0,0
2004-05,22,CHA,NBA,SF,70,2147,.449,9.6,.903,.485,.044,.033,.341,.097,.468,.592,.143,.333,.346,.274,.643,.122,70,1.000,.468,.276,0,0
2005-06,23,CHA,NBA,SF,55,1895,.538,5.3,.915,.701,.059,.041,.114,.085,.562,.632,.314,.292,.358,.280,.512,.168,91,1.000,.460,.348,0,0
2006-07,24,CHA,NBA,SF,72,2640,.502,6.8,.874,.618,.082,.036,.139,.126,.528,.587,.372,.294,.417,.325,.506,.086,77,.923,.667,.350,2,0
2007-08,25,CHA,NBA,PF,62,2376,.449,10.8,.757,.471,.045,.024,.216,.243,.491,.570,.317,.273,.378,.321,.499,.083,70,.958,.407,.278,1,0
2008-09,26,CHA,NBA,SF,71,2669,.480,6.4,.838,.665,.064,.014,.096,.162,.515,.557,.404,.273,.333,.298,.491,.075,59,.974,.634,.289,0,0
2009-10,27,CHA,NBA,SF,76,3119,.484,7.9,.852,.572,.077,.025,.177,.148,.503,.590,.356,.292,.317,.371,.567,.074,57,.981,.664,.398,0,0
2010-11,28,TOT,NBA,SF-PF,71,2693,.454,11.3,.781,.408,.122,.020,.231,.219,.487,.608,.327,.353,.371,.333,.568,.042,30,.968,.376,.257,1,0
2010-11,28,CHA,NBA,SF,48,1872,.433,11.2,.818,.404,.122,.017,.275,.182,.456,.574,.282,.300,.369,.330,.604,.045,20,.971,.500,.264,1,0
2010-11,28,POR,NBA,PF,23,821,.498,11.5,.703,.416,.123,.026,.138,.297,.566,.679,.424,.429,.378,.338,.495,.037,10,.963,.213,.235,0,0
2011-12,29,TOT,NBA,SF,58,2076,.454,10.0,.763,.494,.108,.028,.133,.237,.500,.590,.279,.444,.357,.307,.568,.027,15,.935,.433,.354,0,0
2011-12,29,POR,NBA,SF,42,1503,.472,9.4,.772,.523,.114,.014,.121,.228,.533,.627,.245,.333,.423,.265,.599,.026,11,.962,.449,.341,0,0
2011-12,29,NJN,NBA,SF,16,573,.416,11.3,.743,.431,.094,.059,.158,.257,.427,.494,.368,.500,.250,.385,.484,.030,4,.900,.404,.381,0,0
2012-13,30,BRK,NBA,SF,69,2076,.397,12.1,.644,.419,.120,.011,.094,.356,.461,.536,.400,.000,.256,.282,.632,.068,26,.957,.356,.328,0,0
2013-14,31,BOS,NBA,SF,58,1416,.504,9.4,.722,.548,.113,.004,.057,.278,.584,.659,.308,1.000,.385,.297,.649,.061,12,1.000,.297,.579,1,0
2014-15,32,BOS,NBA,SF,32,286,.412,6.1,.912,.706,.147,.000,.059,.088,.419,.458,.400,,.000,.333,.615,.029,1,1.000,.333,1.000,1,0
Career,,,NBA,,832,24731,.469,8.7,.826,.543,.081,.027,.175,.174,.502,.587,.330,.307,.351,.312,.553,.085,567,.963,.473,.330,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,CHA,NBA,,454,16718,.477,8.2,.847,.563,.070,.027,.188,.153,.505,.585,.328,.295,.360,.322,.539,.091,444,.966,.543,.319,4,0
3 seasons,,SAC,NBA,,138,1338,.441,7.1,.971,.557,.101,.049,.264,.029,.452,.574,.267,.273,.297,.077,.617,.168,59,1.000,.385,.200,0,0
2 seasons,,BOS,NBA,,90,1702,.492,9.0,.746,.568,.117,.004,.057,.254,.558,.627,.323,1.000,.333,.299,.645,.057,13,1.000,.299,.600,2,0
2 seasons,,"NJN,BRK",NBA,,85,2649,.403,11.9,.674,.423,.112,.026,.114,.326,.449,.523,.392,.353,.253,.307,.585,.056,30,.939,.367,.342,0,0
2 seasons,,POR,NBA,,65,2324,.482,10.2,.745,.482,.117,.019,.127,.255,.545,.644,.317,.385,.404,.298,.560,.030,21,.962,.343,.311,0,0
