Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
John Wall,,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA,NA,NA,NA,NA
Jon McGlocklin,93.3,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2,NA,NA,NA
Lucius Allen,91.2,8.2,7.6,7.6,4.9,3.9,3.6,2.2,2.1,1.9,0.1,NA,NA,NA,NA
Otis Birdsong,89.8,8.8,8.6,8.2,5.2,4.5,4.2,4.2,3.2,1.6,0,-0.1,-0.1,NA,NA
Brian Taylor,89.8,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,NA,NA,NA,NA
Darrell Armstrong,89.5,8.7,8,7.6,6.4,5.3,4.9,3.2,2.5,1.8,0.8,0.3,0.1,0.1,0
B.J. Armstrong,88.8,8.1,7.5,7.5,7,4.6,4.1,2.2,1.7,1.3,0.7,0.4,NA,NA,NA
Kenny Smith,88.6,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,NA,NA,NA,NA
Michael Adams,87.8,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,NA,NA,NA
Paul Pressey,86.8,9.8,9.6,7.1,5.5,4.8,3.8,3.2,3,2,0.3,0.1,NA,NA,NA
Phil Smith,86.8,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA,NA,NA,NA,NA
