Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1985-86,22,ATL,NBA,PG,79,1229,18.5,0.578,0.027,0.667,2.4,8.6,5.5,38.7,3.2,0.2,23,23,NA,1.9,1.6,3.5,0.137,NA,1.7,1.2,2.9,1.5
1986-87,23,ATL,NBA,PG,33,532,16.5,0.536,0.037,0.648,1.2,10.9,6.1,42.6,3.1,0.2,25.2,21.5,NA,0.4,0.8,1.2,0.107,NA,1,1.4,2.4,0.6
1987-88,24,ATL,NBA,PG,82,1347,14.8,0.533,0.047,0.326,1.3,10.8,6,34.3,2.3,0.5,22.2,18.5,NA,0.9,1.4,2.3,0.082,NA,-0.1,0.2,0.1,0.7
1988-89,25,ATL,NBA,PG,81,1219,13,0.504,0.076,0.207,1.8,9.3,5.5,31,2.8,0.3,20.8,13.3,NA,0.9,1.3,2.2,0.088,NA,-0.7,1.1,0.4,0.7
1989-90,26,ATL,NBA,PG,82,2184,15.3,0.538,0.031,0.302,2,8.8,5.3,29.9,2.4,0.3,16.8,16.1,NA,3.5,1.1,4.5,0.099,NA,0.7,-0.2,0.5,1.4
1990-91,27,ATL,NBA,PG,75,2197,16.6,0.545,0.209,0.331,2,6.8,4.3,27.7,2.6,0.2,13.7,20,NA,4,1.4,5.4,0.118,NA,1.3,-0.2,1.1,1.7
1991-92,28,SAC,NBA,PG,77,2724,15.1,0.54,0.198,0.303,1.2,7.7,4.4,29.5,2.2,0.5,16.7,21,NA,2.5,1.6,4.1,0.072,NA,0.2,-1,-0.8,0.8
1992-93,29,SAC,NBA,PG,69,2335,14.4,0.536,0.171,0.416,2,7.4,4.6,29.3,2.1,0.2,17.2,19.7,NA,2.5,1.4,3.9,0.08,NA,0.2,-0.9,-0.7,0.8
1993-94,30,SAC,NBA,PG,79,2567,15.2,0.546,0.202,0.31,1.8,7.7,4.7,31.2,1.8,0.6,15.4,17.9,NA,4,1.1,5.1,0.096,NA,1,-0.5,0.5,1.6
1994-95,31,SAC,NBA,PG,76,2458,13.7,0.552,0.21,0.351,1.4,6.8,4.1,29.8,1.6,0.2,18.9,17.7,NA,3.1,2,5.1,0.099,NA,0.2,-0.5,-0.3,1.1
1995-96,32,TOT,NBA,PG,77,1462,14.8,0.551,0.3,0.337,2,6.2,4.1,32.1,1.9,0.4,18.2,18.4,NA,2.3,0.7,3,0.099,NA,0.9,-1.2,-0.3,0.6
1995-96,32,ATL,NBA,PG,51,817,15.3,0.576,0.257,0.392,2.6,6.2,4.3,27.2,1.8,0.2,16.4,17.1,NA,1.8,0.4,2.2,0.132,NA,0.6,-0.9,-0.3,0.3
1995-96,32,MIN,NBA,PG,26,645,14.3,0.522,0.346,0.279,1.3,6.1,3.7,38.2,2,0.6,20.2,20.1,NA,0.5,0.3,0.8,0.058,NA,1.2,-1.6,-0.4,0.3
1997-98,34,ORL,NBA,PG,4,34,3.2,0.466,0.083,0.167,6.8,3.5,5.2,26.7,1.6,0,35.2,26.8,NA,-0.1,0,-0.1,-0.161,NA,-9.1,-2.4,-11.4,-0.1
Career,NA,,NBA,,814,20288,15.1,0.543,0.159,0.358,1.8,7.9,4.8,31.1,2.2,0.3,17.9,18.8,NA,25.8,14.5,40.2,0.095,NA,0.6,-0.3,0.2,11.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,ATL,NBA,,483,9525,15.7,0.545,0.104,0.382,1.9,8.6,5.2,31.8,2.6,0.3,18.7,18.3,NA,13.3,8.1,21.4,0.108,NA,0.7,0.2,0.9,7
4 seasons,NA,SAC,NBA,,301,10084,14.6,0.543,0.195,0.342,1.6,7.4,4.5,30,1.9,0.4,17,19.1,NA,12.1,6.1,18.2,0.086,NA,0.4,-0.7,-0.3,4.3
1 season,NA,MIN,NBA,,26,645,14.3,0.522,0.346,0.279,1.3,6.1,3.7,38.2,2,0.6,20.2,20.1,NA,0.5,0.3,0.8,0.058,NA,1.2,-1.6,-0.4,0.3
1 season,NA,ORL,NBA,,4,34,3.2,0.466,0.083,0.167,6.8,3.5,5.2,26.7,1.6,0,35.2,26.8,NA,-0.1,0,-0.1,-0.161,NA,-9.1,-2.4,-11.4,-0.1
