Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,OKC,NBA,PG,82,65,2668,5.9,14.8,0.398,0.5,1.7,0.271,5.4,13,0.415,4.7,5.8,0.815,2.4,3,5.4,5.9,1.5,0.2,3.7,2.6,16.9
2009-10,21,OKC,NBA,PG,82,82,2813,6.2,14.8,0.418,0.3,1.3,0.221,5.9,13.5,0.438,4.2,5.4,0.78,1.8,3.3,5.1,8.3,1.4,0.4,3.4,2.6,16.9
2010-11,22,OKC,NBA,PG,82,82,2847,7.8,17.6,0.442,0.4,1.3,0.33,7.3,16.3,0.451,6.7,8,0.842,1.5,3.3,4.8,8.5,2,0.4,4,2.6,22.7
2011-12,23,OKC,NBA,PG,66,66,2331,8.9,19.6,0.457,1,3,0.316,8,16.5,0.482,5.3,6.4,0.823,1.5,3.2,4.6,5.6,1.7,0.3,3.7,2.3,24.1
2012-13,24,OKC,NBA,PG,82,82,2861,8.5,19.3,0.438,1.2,3.8,0.323,7.2,15.5,0.466,5.8,7.2,0.8,1.4,4,5.4,7.6,1.8,0.3,3.4,2.4,23.9
2013-14,25,OKC,NBA,PG,46,46,1412,8.8,20.2,0.437,1.7,5.5,0.318,7.1,14.7,0.482,6.2,7.5,0.826,1.4,5.3,6.7,8.1,2.2,0.2,4.5,2.7,25.5
2014-15,26,OKC,NBA,PG,67,67,2302,9.8,23,0.426,1.3,4.5,0.299,8.5,18.5,0.457,8.5,10.2,0.835,1.9,5.7,7.6,9,2.2,0.2,4.6,2.9,29.5
2015-16,27,OKC,NBA,PG,80,80,2750,8.6,18.9,0.454,1.3,4.5,0.296,7.3,14.4,0.503,6.1,7.5,0.812,1.9,6.3,8.2,10.9,2.1,0.3,4.5,2.6,24.6
2016-17,28,OKC,NBA,PG,81,81,2802,10.6,24.9,0.425,2.6,7.5,0.343,8,17.4,0.459,9.1,10.8,0.845,1.8,9.3,11.1,10.8,1.7,0.4,5.6,2.4,32.9
2017-18,29,OKC,NBA,PG,80,80,2914,9.4,20.8,0.449,1.2,4,0.298,8.2,16.8,0.485,5.2,7,0.737,1.9,8.1,9.9,10.1,1.8,0.2,4.7,2.5,25.1
2018-19,30,OKC,NBA,PG,73,73,2630,8.6,20.2,0.428,1.6,5.6,0.29,7,14.5,0.481,4.1,6.2,0.656,1.5,9.6,11,10.7,1.9,0.5,4.4,3.4,22.9
2019-20,31,HOU,NBA,PG,53,53,1905,10.7,22.7,0.474,1,3.8,0.254,9.8,18.9,0.518,5.1,6.5,0.777,1.8,6.3,8.1,7,1.7,0.3,4.5,3.5,27.5
Career,NA,,NBA,,874,857,30235,8.6,19.6,0.437,1.2,3.8,0.304,7.4,15.8,0.469,5.9,7.4,0.8,1.7,5.6,7.4,8.7,1.8,0.3,4.2,2.7,24.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,OKC,NBA,,821,804,28330,8.4,19.4,0.434,1.2,3.8,0.308,7.2,15.6,0.465,6,7.4,0.801,1.7,5.6,7.3,8.8,1.8,0.3,4.2,2.6,24
1 season,NA,HOU,NBA,,53,53,1905,10.7,22.7,0.474,1,3.8,0.254,9.8,18.9,0.518,5.1,6.5,0.777,1.8,6.3,8.1,7,1.7,0.3,4.5,3.5,27.5
