Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1975-76,22,HOU,NBA,SG,32,NA,284,6.8,16.5,0.412,NA,NA,NA,6.8,16.5,0.412,2.9,4,0.72,2.1,4,6.1,4.8,3.1,0.8,NA,5.2,16.5,NA,NA,100
1976-77,23,HOU,NBA,SG,46,NA,368,6,13.6,0.443,NA,NA,NA,6,13.6,0.443,1.9,3.2,0.6,1.7,3.6,5.3,4.5,1.4,0.1,NA,5,14,NA,NA,106
1977-78,24,HOU,NBA,SG,21,NA,219,6.7,18.4,0.365,NA,NA,NA,6.7,18.4,0.365,3,3.9,0.778,1.7,2.8,4.5,4.8,1.7,0,4.8,5.2,16.4,NA,82,109
1979-80,26,HOU,NBA,SG,9,NA,106,5.8,10.7,0.542,0,0,NA,5.8,10.7,0.542,4.5,5.8,0.769,0,4,4,2.2,2.2,0,3.6,3.6,16.1,NA,103,109
1980-81,27,TOT,NBA,SG,16,NA,208,5.3,14.9,0.354,0,0.2,0,5.3,14.7,0.359,3.4,3.7,0.938,0.2,2.3,2.5,4.6,2.1,0.2,2.8,5.3,14,NA,90,108
1980-81,27,GSW,NBA,SG,4,NA,43,9.9,19.9,0.5,0,0,NA,9.9,19.9,0.5,4.4,4.4,1,0,0,0,2.2,4.4,0,3.3,7.7,24.3,NA,108,108
1980-81,27,SEA,NBA,SG,12,NA,165,4.1,13.6,0.298,0,0.3,0,4.1,13.3,0.304,3.2,3.5,0.917,0.3,2.9,3.2,5.2,1.5,0.3,2.6,4.6,11.3,NA,84,108
Career,NA,,NBA,,124,NA,1185,6.2,15.2,0.408,0,0.2,0,6.2,15.1,0.409,2.9,3.9,0.742,1.4,3.4,4.8,4.4,2.1,0.3,1.7,5,15.3,NA,88,106
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,HOU,NBA,,108,NA,977,6.4,15.2,0.42,0,0,NA,6.4,15.2,0.42,2.7,3.9,0.704,1.6,3.6,5.2,4.4,2.1,0.3,1.4,4.9,15.5,NA,87,105
1 season,NA,SEA,NBA,,12,NA,165,4.1,13.6,0.298,0,0.3,0,4.1,13.3,0.304,3.2,3.5,0.917,0.3,2.9,3.2,5.2,1.5,0.3,2.6,4.6,11.3,NA,84,108
1 season,NA,GSW,NBA,,4,NA,43,9.9,19.9,0.5,0,0,NA,9.9,19.9,0.5,4.4,4.4,1,0,0,0,2.2,4.4,0,3.3,7.7,24.3,NA,108,108
