Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jamaal Wilkes,,10,8.5,8.3,7.7,7.4,7.3,6.9,6,5.1,3.3,0.9,0
Shareef Abdur-Rahim,93.4,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9,2.8,0
David West,93.2,9.1,8.4,8.1,7.8,7.8,7.5,7.4,5.9,5.2,4.3,2.8,0.2
Happy Hairston,92.8,9.3,9.2,8.8,7.2,7,7,6.5,5.3,5.1,4.2,0.4,NA
John Drew,92.1,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3,0.7,NA
Jack Twyman,92.1,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9,1.8,NA
Clifford Robinson,91.9,9.6,8.7,8,7.5,7.1,6.8,6.6,5.4,5.3,4.6,4.2,0.3
Terry Cummings,91.5,10.7,8.8,8.7,8.7,7.7,7.5,7.4,6.5,5.6,5.2,1.8,0
David Lee,91.5,10.3,9.1,9,7.6,7.4,6.9,6,5.7,5,3.2,3,2.7
Dan Roundfield,90.9,9.1,8.7,7.4,7.1,7,6.9,6.5,5.1,3.9,2.7,1.3,0.6
Lamar Odom,90.6,10.1,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.2,0.7
