Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,NYK,NBA,C,54,16,917,116,233,0.498,0,2,0,116,231,0.502,0.498,66,122,0.541,86,176,262,16,21,16,64,155,298
1986-87,24,NYK,NBA,PF,24,10,454,56,127,0.441,0,1,0,56,126,0.444,0.441,27,58,0.466,45,62,107,6,9,2,28,67,139
1988-89,26,NYK,NBA,C,71,2,584,114,245,0.465,0,1,0,114,244,0.467,0.465,61,111,0.55,72,76,148,7,10,16,56,110,289
1989-90,27,NYK,NBA,C,79,0,972,141,310,0.455,0,2,0,141,308,0.458,0.455,89,147,0.605,114,151,265,16,18,18,73,152,371
1990-91,28,NYK,NBA,C,68,1,668,114,255,0.447,0,1,0,114,254,0.449,0.447,51,90,0.567,69,111,180,15,17,7,50,91,279
1992-93,30,PHI,NBA,PF,26,0,192,55,97,0.567,0,2,0,55,95,0.579,0.567,48,78,0.615,14,26,40,2,7,1,17,34,158
Career,NA,,NBA,,322,29,3787,596,1267,0.47,0,9,0,596,1258,0.474,0.47,342,606,0.564,400,602,1002,62,82,60,288,609,1534
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,NYK,NBA,,296,29,3595,541,1170,0.462,0,7,0,541,1163,0.465,0.462,294,528,0.557,386,576,962,60,75,59,271,575,1376
1 season,NA,PHI,NBA,,26,0,192,55,97,0.567,0,2,0,55,95,0.579,0.567,48,78,0.615,14,26,40,2,7,1,17,34,158
