Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2002-03,23,TOT,NBA,PG-SG,46,688,9.3,0.436,0.236,0.318,3.4,8.1,5.9,19.4,2.1,0.4,14.2,13,NA,0.3,0.4,0.7,0.049,NA,-2.3,0.6,-1.7,0
2002-03,23,ATL,NBA,SG,15,364,9.4,0.453,0.21,0.358,2.9,9.6,6.4,18.1,2.3,0.2,14.6,13.8,NA,0.1,0.2,0.3,0.042,NA,-2.2,1.2,-1,0.1
2002-03,23,MIN,NBA,PG,31,324,9.1,0.414,0.269,0.269,4,6.5,5.2,21,1.8,0.7,13.8,12.2,NA,0.2,0.2,0.4,0.056,NA,-2.4,0,-2.5,0
2003-04,24,HOU,NBA,PG,26,145,14.4,0.606,0.278,0.333,2.6,10.1,6.5,20.6,1.1,0,14.5,15.9,NA,0.4,0.2,0.5,0.169,NA,0.4,1.2,1.7,0.1
2004-05,25,SAS,NBA,PG,48,278,11,0.482,0.208,0.208,1.7,8.8,5.3,19.1,2.7,0.3,14.3,16.4,NA,0.1,0.5,0.6,0.099,NA,-3.2,2.1,-1.1,0.1
2005-06,26,TOT,NBA,PG,47,348,5.8,0.398,0.211,0.456,3.1,10.4,6.7,13.9,2.1,0.2,18.2,17.3,NA,-0.5,0.2,-0.3,-0.042,NA,-5.7,-0.1,-5.8,-0.3
2005-06,26,CLE,NBA,PG,37,243,2,0.327,0.237,0.203,2.9,10.3,6.6,11.2,1.8,0.3,18.9,15.1,NA,-0.6,0.2,-0.4,-0.075,NA,-7.6,0.1,-7.5,-0.3
2005-06,26,SEA,NBA,PG,10,105,14.6,0.503,0.161,0.935,3.4,10.5,6.9,20.2,3,0,17.1,22.5,NA,0.1,0,0.1,0.035,NA,-1.3,-0.4,-1.7,0
2006-07,27,SEA,NBA,PG,47,534,12.7,0.533,0.106,0.298,3.3,8.8,6.1,22.9,1.5,0.6,16.3,16.2,NA,0.6,0.1,0.8,0.07,NA,-0.8,-0.6,-1.5,0.1
2007-08,28,TOT,NBA,PG,15,188,8.6,0.543,0.222,0.111,3,8.3,5.6,11.3,2.4,0,19.2,10.7,NA,0,0.2,0.2,0.052,NA,-3.2,0.9,-2.3,0
2007-08,28,DEN,NBA,PG,8,122,6.4,0.503,0.217,0.087,3.6,7,5.3,6.6,2,0,17.3,10.1,NA,0,0.1,0.1,0.032,NA,-4.1,0.7,-3.4,0
2007-08,28,WAS,NBA,PG,4,44,10.1,0.625,0.5,0,2.6,13.7,8,9.7,3.7,0,20,5.2,NA,0,0,0.1,0.094,NA,-2.3,3.3,1,0
2007-08,28,SEA,NBA,PG,3,22,17.7,0.607,0.111,0.222,0,4.9,2.5,40.5,2.3,0,23.3,25.3,NA,0,0,0,0.074,NA,-0.6,-2.3,-2.8,0
2009-10,30,OKC,NBA,PG,4,59,5.9,0.581,0.25,0.333,2,5.7,3.9,10.1,0,0,22.5,13.5,NA,0,0,0,0.023,NA,-3.4,-2.8,-6.2,-0.1
Career,NA,,NBA,,233,2240,10,0.482,0.196,0.307,3,8.8,5.9,18.5,1.9,0.3,16,14.9,NA,0.9,1.6,2.5,0.053,NA,-2.5,0.4,-2.2,-0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"SEA,OKC",NBA,,64,720,12.6,0.533,0.124,0.399,3.1,8.7,5.9,22,1.6,0.4,17.2,17.2,NA,0.7,0.2,0.9,0.061,NA,-1.1,-0.8,-1.9,0
1 season,NA,SAS,NBA,,48,278,11,0.482,0.208,0.208,1.7,8.8,5.3,19.1,2.7,0.3,14.3,16.4,NA,0.1,0.5,0.6,0.099,NA,-3.2,2.1,-1.1,0.1
1 season,NA,CLE,NBA,,37,243,2,0.327,0.237,0.203,2.9,10.3,6.6,11.2,1.8,0.3,18.9,15.1,NA,-0.6,0.2,-0.4,-0.075,NA,-7.6,0.1,-7.5,-0.3
1 season,NA,MIN,NBA,,31,324,9.1,0.414,0.269,0.269,4,6.5,5.2,21,1.8,0.7,13.8,12.2,NA,0.2,0.2,0.4,0.056,NA,-2.4,0,-2.5,0
1 season,NA,HOU,NBA,,26,145,14.4,0.606,0.278,0.333,2.6,10.1,6.5,20.6,1.1,0,14.5,15.9,NA,0.4,0.2,0.5,0.169,NA,0.4,1.2,1.7,0.1
1 season,NA,ATL,NBA,,15,364,9.4,0.453,0.21,0.358,2.9,9.6,6.4,18.1,2.3,0.2,14.6,13.8,NA,0.1,0.2,0.3,0.042,NA,-2.2,1.2,-1,0.1
1 season,NA,DEN,NBA,,8,122,6.4,0.503,0.217,0.087,3.6,7,5.3,6.6,2,0,17.3,10.1,NA,0,0.1,0.1,0.032,NA,-4.1,0.7,-3.4,0
1 season,NA,WAS,NBA,,4,44,10.1,0.625,0.5,0,2.6,13.7,8,9.7,3.7,0,20,5.2,NA,0,0,0.1,0.094,NA,-2.3,3.3,1,0
