Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,21,NJN,NBA,PF,82,82,2825,6.5,11.2,0.582,0,0,0,6.5,11.2,0.583,3.1,4.9,0.624,4.4,8.4,12.8,1.4,1.1,1.1,3,3.6,16.2
1982-83,22,NJN,NBA,PF,82,82,2961,6.5,11.1,0.588,0,0,0,6.5,11,0.59,3.9,6.4,0.62,4.4,8,12.5,1.5,1.1,1.3,3,3.3,17
1983-84,23,NJN,NBA,PF,81,81,3003,5.9,11.1,0.535,0,0,0,5.9,11.1,0.537,3.4,6,0.57,4.3,7.7,12,1.6,1,1.5,2.8,3.6,15.3
1984-85,24,NJN,NBA,PF,82,82,3182,6.5,12.3,0.53,0,0,0.25,6.5,12.3,0.531,3.8,6.1,0.625,3.7,7.7,11.4,1.9,0.7,1.2,2.7,3.3,16.9
1985-86,25,NJN,NBA,PF,82,82,3070,5.9,11.2,0.523,0,0,0,5.9,11.2,0.524,3.5,5.2,0.676,3.9,7.7,11.6,1.5,0.9,1.1,2.9,3.4,15.3
1986-87,26,NJN,NBA,PF,82,82,2976,6.3,11.3,0.557,0,0,0,6.3,11.3,0.557,5.2,7.1,0.731,3.9,8.5,12.4,1.6,0.9,1.1,3.4,3.8,17.8
1987-88,27,NJN,NBA,PF,70,70,2637,6.4,11.4,0.56,0,0,1,6.3,11.3,0.56,4.7,7.1,0.668,4.1,7.3,11.4,1.5,0.9,0.6,2.6,3.6,17.5
1988-89,28,NJN,NBA,PF,74,72,2446,5.5,10.3,0.531,0,0,0,5.5,10.3,0.534,3.1,4.7,0.666,3.7,6.6,10.2,1.1,0.9,0.5,2.1,3.3,14.1
1989-90,29,POR,NBA,PF,82,82,2801,5.3,9.7,0.548,0,0,0,5.3,9.7,0.548,3.7,5.2,0.706,3.2,7.1,10.3,1.5,0.9,0.5,2.2,3.7,14.3
1990-91,30,POR,NBA,PF,80,80,2582,5,8.3,0.602,0,0,NA,5,8.3,0.602,3,4.3,0.705,3.2,7.3,10.5,1.4,0.7,0.7,1.9,3.4,13
1991-92,31,POR,NBA,PF,80,80,2519,4.9,8,0.604,0,0,0,4.9,8,0.605,3.2,4.2,0.754,3.7,6.3,10.1,1.5,0.9,0.6,1.9,3.5,12.9
1992-93,32,POR,NBA,PF,82,82,2498,3.9,7.6,0.511,0,0,0,3.9,7.6,0.512,2,3.1,0.645,3.3,6.6,9.9,1.1,1.2,0.9,1.5,3.9,9.8
1993-94,33,POR,NBA,PF,81,81,2636,4,7.2,0.555,0,0,0,4,7.1,0.556,2.7,4,0.679,4.3,7.2,11.5,1.1,0.8,0.6,1.5,3.3,10.7
1994-95,34,POR,NBA,PF,82,82,2422,4.6,9,0.512,0,0,0.5,4.6,8.9,0.512,2.1,3,0.673,3.7,6.2,9.9,1.2,1,1,1.8,3.8,11.3
1995-96,35,POR,NBA,PF,70,10,1672,4.1,8.3,0.5,0,0.1,0.667,4.1,8.2,0.499,2.7,4,0.668,3.4,5.3,8.7,0.9,0.9,1,1.9,4,11
1996-97,36,NYK,NBA,PF,74,4,1496,4.2,7.8,0.537,0,0,0,4.2,7.8,0.538,2.8,4.3,0.642,4,5.6,9.6,1.3,1,0.9,1.9,4.9,11.2
1997-98,37,NYK,NBA,PF,41,6,738,3.7,7.3,0.503,0,0,NA,3.7,7.3,0.503,2.5,3.5,0.732,3.8,5.1,8.9,1,0.8,0.7,1.9,4.5,9.9
Career,NA,,NBA,,1307,1140,42464,5.4,9.9,0.549,0,0,0.167,5.4,9.9,0.55,3.4,5.1,0.664,3.8,7.2,11,1.4,0.9,0.9,2.4,3.6,14.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,NJN,NBA,,635,633,23100,6.2,11.3,0.55,0,0,0.1,6.2,11.2,0.552,3.9,6,0.649,4,7.8,11.8,1.5,0.9,1.1,2.8,3.5,16.3
7 seasons,NA,POR,NBA,,557,497,17130,4.6,8.3,0.55,0,0,0.333,4.6,8.3,0.55,2.8,4,0.695,3.6,6.7,10.2,1.3,0.9,0.7,1.8,3.6,11.9
2 seasons,NA,NYK,NBA,,115,10,2234,4,7.7,0.526,0,0,0,4,7.6,0.527,2.7,4,0.668,3.9,5.4,9.3,1.2,0.9,0.9,1.9,4.8,10.7
