Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Charles Williams,,3.9,1.3,1.1,0.6,-0.3,-0.7
Terry Dehere,72.0,5,1.2,1,0.5,0,-0.4
Stan Stutz,71.8,3.9,1.7,1.1,NA,NA,NA
Angelo Musi,71.7,3.5,1.3,1.1,NA,NA,NA
Ronnie Lester,70.5,3.9,1.7,0.7,0.2,0,-0.2
Jack McMahon,69.2,4.7,1.3,0.8,-0.2,-0.2,-0.7
Tyus Edney,67.1,3.3,1.5,1.4,0.5,NA,NA
Kevin Ollie,65.7,3.8,2.4,1.4,0.9,0,-0.1
Darrick Martin,63.9,4.6,1.9,1.3,0.5,0.2,0.1
Dan Dickau,62.5,3.5,1.5,0.4,0.4,0,0
Jeffrey Congdon,62.3,4.3,0.9,0.7,0.3,0,NA
