Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,24,PTC,ABA,PG,83,NA,1795,268,613,0.437,1,4,0.25,267,609,0.438,0.438,249,317,0.785,90,95,185,170,NA,NA,151,161,786
1971-72,25,DNR,ABA,PG,84,NA,1580,263,583,0.451,0,4,0,263,579,0.454,0.451,205,275,0.745,62,95,157,160,NA,NA,98,144,731
1972-73,26,SDA,ABA,PG,83,NA,3074,488,1020,0.478,1,7,0.143,487,1013,0.481,0.479,493,623,0.791,71,158,229,582,NA,NA,231,275,1470
1973-74,27,TOT,ABA,PG,90,NA,2876,405,918,0.441,4,12,0.333,401,906,0.443,0.443,299,382,0.783,80,170,250,557,89,11,256,198,1113
1973-74,27,SDA,ABA,PG,57,NA,1954,296,662,0.447,3,9,0.333,293,653,0.449,0.449,227,285,0.796,61,113,174,387,63,8,170,131,822
1973-74,27,KEN,ABA,PG,33,NA,922,109,256,0.426,1,3,0.333,108,253,0.427,0.428,72,97,0.742,19,57,76,170,26,3,86,67,291
1974-75,28,MMS,ABA,PG,81,NA,3171,476,963,0.494,10,24,0.417,466,939,0.496,0.499,212,260,0.815,60,160,220,576,115,18,171,165,1174
1975-76,29,DNA,ABA,PG,79,NA,2529,339,660,0.514,0,4,0,339,656,0.517,0.514,188,231,0.814,41,169,210,375,115,7,180,215,866
1976-77,30,TOT,NBA,PG,65,NA,867,78,210,0.371,NA,NA,NA,78,210,0.371,0.371,68,87,0.782,26,75,101,132,32,3,NA,60,224
1976-77,30,DEN,NBA,PG,21,NA,311,35,93,0.376,NA,NA,NA,35,93,0.376,0.376,30,39,0.769,8,26,34,44,8,0,NA,26,100
1976-77,30,BUF,NBA,PG,44,NA,556,43,117,0.368,NA,NA,NA,43,117,0.368,0.368,38,48,0.792,18,49,67,88,24,3,NA,34,124
1977-78,31,BUF,NBA,PG,73,NA,2002,208,436,0.477,NA,NA,NA,208,436,0.477,0.477,114,138,0.826,29,108,137,317,48,4,156,137,530
Career,NA,,TOT,,638,NA,17894,2525,5403,0.467,16,55,0.291,2509,5348,0.469,0.469,1828,2313,0.79,459,1030,1489,2869,399,43,1243,1355,6894
,NA,,ABA,,500,NA,15025,2239,4757,0.471,16,55,0.291,2223,4702,0.473,0.472,1646,2088,0.788,404,847,1251,2420,319,36,1087,1158,6140
,NA,,NBA,,138,NA,2869,286,646,0.443,NA,NA,NA,286,646,0.443,0.443,182,225,0.809,55,183,238,449,80,7,156,197,754
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"DNR,DNA,DEN",ABA,,184,NA,4420,637,1336,0.477,0,8,0,637,1328,0.48,0.477,423,545,0.776,111,290,401,579,123,7,278,385,1697
2 seasons,NA,SDA,ABA,,140,NA,5028,784,1682,0.466,4,16,0.25,780,1666,0.468,0.467,720,908,0.793,132,271,403,969,63,8,401,406,2292
2 seasons,NA,BUF,NBA,,117,NA,2558,251,553,0.454,NA,NA,NA,251,553,0.454,0.454,152,186,0.817,47,157,204,405,72,7,156,171,654
1 season,NA,PTC,ABA,,83,NA,1795,268,613,0.437,1,4,0.25,267,609,0.438,0.438,249,317,0.785,90,95,185,170,NA,NA,151,161,786
1 season,NA,MMS,ABA,,81,NA,3171,476,963,0.494,10,24,0.417,466,939,0.496,0.499,212,260,0.815,60,160,220,576,115,18,171,165,1174
1 season,NA,KEN,ABA,,33,NA,922,109,256,0.426,1,3,0.333,108,253,0.427,0.428,72,97,0.742,19,57,76,170,26,3,86,67,291
