Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,ATL,NBA,PF,82,19,1785,322,690,0.467,2,9,0.222,320,681,0.47,0.468,119,181,0.657,177,345,522,36,31,49,104,226,765
1985-86,23,ATL,NBA,PF,82,59,2300,419,811,0.517,0,6,0,419,805,0.52,0.517,172,263,0.654,243,461,704,45,66,44,177,294,1010
1986-87,24,ATL,NBA,PF,81,81,2626,538,1003,0.536,1,4,0.25,537,999,0.538,0.537,227,320,0.709,321,528,849,62,65,61,173,313,1304
1987-88,25,ATL,NBA,PF,75,55,2091,356,687,0.518,0,2,0,356,685,0.52,0.518,159,245,0.649,235,312,547,28,68,41,138,240,871
1989-90,27,ATL,NBA,PF,81,51,2273,418,805,0.519,2,7,0.286,416,798,0.521,0.52,168,246,0.683,253,392,645,57,63,47,144,259,1006
1990-91,28,ATL,NBA,PF,80,80,2373,444,881,0.504,4,10,0.4,440,871,0.505,0.506,159,238,0.668,259,445,704,99,60,40,153,235,1051
1991-92,29,ATL,NBA,PF,81,80,2962,591,1224,0.483,6,37,0.162,585,1187,0.493,0.485,292,363,0.804,418,840,1258,173,72,54,197,223,1480
1992-93,30,ATL,NBA,PF,80,80,2878,616,1218,0.506,7,29,0.241,609,1189,0.512,0.509,196,300,0.653,335,693,1028,165,68,41,213,264,1435
1993-94,31,ATL,NBA,PF,80,80,2867,627,1257,0.499,9,24,0.375,618,1233,0.501,0.502,268,376,0.713,335,628,963,150,79,38,188,250,1531
1994-95,32,TOT,NBA,PF,67,63,2390,473,1015,0.466,3,15,0.2,470,1000,0.47,0.467,205,297,0.69,227,505,732,86,60,36,162,215,1154
1994-95,32,ATL,NBA,PF,2,2,89,16,41,0.39,0,1,0,16,40,0.4,0.39,10,15,0.667,10,26,36,3,1,3,7,7,42
1994-95,32,MIA,NBA,PF,65,61,2301,457,974,0.469,3,14,0.214,454,960,0.473,0.471,195,282,0.691,217,479,696,83,59,33,155,208,1112
1995-96,33,TOT,NBA,PF,75,60,2135,325,712,0.456,1,9,0.111,324,703,0.461,0.457,143,202,0.708,208,430,638,53,32,41,161,253,794
1995-96,33,MIA,NBA,PF,47,42,1357,195,412,0.473,0,5,0,195,407,0.479,0.473,89,125,0.712,134,286,420,34,19,25,99,158,479
1995-96,33,GSW,NBA,PF,28,18,778,130,300,0.433,1,4,0.25,129,296,0.436,0.435,54,77,0.701,74,144,218,19,13,16,62,95,315
1996-97,34,HOU,NBA,PF,75,32,1964,350,728,0.481,2,14,0.143,348,714,0.487,0.482,140,202,0.693,146,415,561,71,42,32,119,216,842
1997-98,35,HOU,NBA,PF,81,74,2528,531,1041,0.51,1,7,0.143,530,1034,0.513,0.511,242,305,0.793,232,447,679,78,55,38,170,235,1305
1998-99,36,TOR,NBA,C,42,38,1216,187,447,0.418,0,2,0,187,445,0.42,0.418,130,155,0.839,109,241,350,67,28,28,86,134,504
1999-00,37,TOR,NBA,PF,79,1,1679,236,569,0.415,1,3,0.333,235,566,0.415,0.416,131,164,0.799,201,281,482,49,36,48,98,256,604
