Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,21,ATL,NBA,SF,7,7,28.4,3.4,8.3,0.414,0,0,NA,3.4,8.3,0.414,0.414,4.6,5.1,0.889,1.6,2.4,4,0.7,0.3,0.4,1.9,3,11.4
2008-09,22,ATL,NBA,SF,6,3,16.2,1.7,4.8,0.345,0.2,1,0.167,1.5,3.8,0.391,0.362,1.5,2.2,0.692,0.5,1,1.5,1,0.8,0.3,1,1.3,5
2009-10,23,ATL,NBA,SF,11,11,31.4,2.8,7.2,0.392,0.1,0.2,0.5,2.7,7,0.39,0.399,2.6,2.9,0.906,2.1,3.6,5.7,0.7,0.5,0.5,0.5,1.8,8.4
2010-11,24,ATL,NBA,SF,12,3,18,1.8,4.7,0.393,0.3,0.9,0.273,1.6,3.8,0.422,0.42,0.8,1.1,0.769,0.8,1.4,2.3,0.5,0.8,0.6,1,1.5,4.8
2011-12,25,ATL,NBA,SF,6,3,24.2,2.7,7.5,0.356,1.3,2.7,0.5,1.3,4.8,0.276,0.444,1.2,1.5,0.778,0.8,4.7,5.5,0.8,0.5,0.3,0.5,1.5,7.8
2015-16,29,CHO,NBA,PF,7,7,32.6,2,7.3,0.275,0.9,2.4,0.353,1.1,4.9,0.235,0.333,0.3,0.6,0.5,1,5.9,6.9,0.9,0.9,0.4,0.3,1.6,5.1
Career,NA,,NBA,,49,34,25.1,2.4,6.5,0.368,0.4,1.1,0.365,2,5.4,0.368,0.398,1.8,2.2,0.832,1.2,3,4.2,0.7,0.6,0.4,0.8,1.8,7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,ATL,NBA,,42,27,23.9,2.5,6.4,0.386,0.3,0.8,0.371,2.1,5.5,0.388,0.41,2.1,2.5,0.845,1.2,2.6,3.8,0.7,0.6,0.5,0.9,1.8,7.3
1 season,NA,CHO,NBA,,7,7,32.6,2,7.3,0.275,0.9,2.4,0.353,1.1,4.9,0.235,0.333,0.3,0.6,0.5,1,5.9,6.9,0.9,0.9,0.4,0.3,1.6,5.1
