Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,23,NYK,NBA,SF,1,0,4,18,18,1,0,0,NA,18,18,1,0,0,NA,0,0,0,0,0,0,0,9,36
1995-96,24,SAS,NBA,SF,7,0,29,2.5,11.2,0.222,0,0,NA,2.5,11.2,0.222,3.7,7.4,0.5,3.7,5,8.7,0,0,0,5,5,8.7
1997-98,26,SAS,NBA,SF,5,0,28,6.4,10.3,0.625,0,0,NA,6.4,10.3,0.625,2.6,3.9,0.667,2.6,5.1,7.7,1.3,0,0,5.1,2.6,15.4
2000-01,29,ORL,NBA,SF,3,0,14,7.7,10.3,0.75,0,0,NA,7.7,10.3,0.75,2.6,7.7,0.333,10.3,5.1,15.4,0,0,5.1,2.6,5.1,18
2001-02,30,ORL,NBA,SF,4,3,93,5.4,10.5,0.519,0,0.4,0,5.4,10.1,0.538,2.3,3.9,0.6,2.7,5.8,8.5,3.5,1.2,0,1.9,3.1,13.2
2002-03,31,PHI,NBA,SF,10,0,96,3,8.6,0.348,0,0.4,0,3,8.2,0.364,1.1,1.5,0.75,2.6,3,5.6,0,0.7,0,1.5,4.5,7.1
Career,NA,,NBA,,30,3,264,4.6,10,0.466,0,0.3,0,4.6,9.7,0.479,2,3.5,0.577,3.1,4.5,7.6,1.4,0.7,0.3,2.5,4,11.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SAS,NBA,,12,0,57,4.4,10.7,0.412,0,0,NA,4.4,10.7,0.412,3.2,5.7,0.556,3.2,5.1,8.2,0.6,0,0,5.1,3.8,12
1 season,NA,PHI,NBA,,10,0,96,3,8.6,0.348,0,0.4,0,3,8.2,0.364,1.1,1.5,0.75,2.6,3,5.6,0,0.7,0,1.5,4.5,7.1
2 seasons,NA,ORL,NBA,,7,3,107,5.7,10.4,0.548,0,0.3,0,5.7,10.1,0.567,2.4,4.4,0.538,3.7,5.7,9.4,3,1,0.7,2,3.4,13.8
1 season,NA,NYK,NBA,,1,0,4,18,18,1,0,0,NA,18,18,1,0,0,NA,0,0,0,0,0,0,0,9,36
