Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,22,TOT,NBA,SF,30,16,557,4.7,10.8,0.437,1.2,4,0.29,3.6,6.8,0.524,1.4,2.1,0.656,1,3.5,4.5,1.6,1.7,0.6,2.1,3.9,12
2016-17,22,MEM,NBA,SF,24,13,418,4.4,10.6,0.415,0.9,3.5,0.244,3.5,7.1,0.5,1.3,2.2,0.6,0.5,3.4,3.9,1.6,2.1,0.8,2.2,3.6,10.9
2016-17,22,HOU,NBA,SF,6,3,139,5.7,11.4,0.5,2.1,5.4,0.381,3.6,6,0.609,1.6,1.8,0.857,2.3,3.9,6.2,1.6,0.8,0.3,1.6,4.7,15
2017-18,23,TOT,NBA,SF,21,1,307,6,12.8,0.468,1.3,4.5,0.289,4.7,8.3,0.563,2.3,3.5,0.667,2.6,4.8,7.4,1.9,2.3,0.5,2.2,4,15.6
2017-18,23,HOU,NBA,SF,4,0,17,4.2,19.1,0.222,0,10.6,0,4.2,8.5,0.5,2.1,6.4,0.333,2.1,6.4,8.5,2.1,2.1,0,2.1,4.2,10.6
2017-18,23,NYK,NBA,SF,17,1,290,6.1,12.4,0.49,1.4,4.1,0.333,4.7,8.3,0.567,2.4,3.4,0.704,2.6,4.7,7.3,1.9,2.4,0.5,2.2,4,15.9
2018-19,24,SAC,NBA,SF,21,0,312,5.1,11.3,0.449,1.6,5.1,0.318,3.5,6.2,0.556,1,1.7,0.6,1.4,5.4,6.8,1.3,1.2,0.9,1,4.3,12.8
Career,NA,,NBA,,72,17,1176,5.1,11.4,0.449,1.3,4.4,0.299,3.8,7,0.543,1.5,2.4,0.649,1.5,4.3,5.8,1.6,1.7,0.7,1.8,4,13.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MEM,NBA,,24,13,418,4.4,10.6,0.415,0.9,3.5,0.244,3.5,7.1,0.5,1.3,2.2,0.6,0.5,3.4,3.9,1.6,2.1,0.8,2.2,3.6,10.9
1 season,NA,SAC,NBA,,21,0,312,5.1,11.3,0.449,1.6,5.1,0.318,3.5,6.2,0.556,1,1.7,0.6,1.4,5.4,6.8,1.3,1.2,0.9,1,4.3,12.8
1 season,NA,NYK,NBA,,17,1,290,6.1,12.4,0.49,1.4,4.1,0.333,4.7,8.3,0.567,2.4,3.4,0.704,2.6,4.7,7.3,1.9,2.4,0.5,2.2,4,15.9
2 seasons,NA,HOU,NBA,,10,3,156,5.5,12.2,0.453,1.8,6,0.308,3.7,6.2,0.593,1.6,2.3,0.7,2.3,4.2,6.5,1.6,0.9,0.2,1.6,4.6,14.5
