Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Walt Williams,,5.4,5.1,5.1,4.4,3.7,3,2.5,2.2,1.7,1.6,-0.7
Tom Van Arsdale,92.9,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1
Willie Naulls,89.8,5.7,5.5,5.3,4.6,3.9,2.6,2.6,1.8,1.8,0.4,NA
John Johnson,88.4,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1,1.2
Chuck Person,88.2,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3,2.1,1.2,0
Ray Scott,87.9,5.5,5.3,4.5,3.5,3.4,3,2.5,2.5,2.4,1.3,0.9
Ben Poquette,87.8,5.4,5,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6,NA
Rod Higgins,87.6,5.9,5.7,5.3,5,3.8,3.7,2.5,2,1.3,1,0.1
Antoine Carr,87.0,5.5,5.4,4.3,4,3.8,3.5,3.3,2.2,2.1,1.2,0.7
Stephen Jackson,86.9,5,4.8,4.6,4.4,4.4,4.1,3.1,2.2,1.9,0.9,-0.1
Corliss Williamson,86.9,5.1,4.9,4.4,4.1,3.6,3.3,3.2,2.7,2.5,0.2,-0.8
