,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1990-91,22,ATL,NBA,,3,10,0,1,3,10,4,6,2,4,4,3,2,1,3,3,8,5.5
1993-94,25,TOT,NBA,,9,15,0,1,9,15,7,8,8,8,14,5,2,1,5,5,25,22.6
1993-94,25,LAL,NBA,,6,12,0,0,6,12,4,6,4,4,7,4,2,1,3,4,16,12.5
1993-94,25,SAC,NBA,,9,15,0,1,9,15,7,8,8,8,14,5,2,1,5,5,25,22.6
1994-95,26,SAC,NBA,,3,6,0,0,3,6,2,2,2,3,4,3,2,1,2,2,7,7.1
1995-96,27,PHI,NBA,,6,9,0,0,6,9,2,2,4,4,6,2,2,0,1,4,12,13.1
Career,,,,,9,15,0,1,9,15,7,8,8,8,14,5,2,1,5,5,25,22.6
2 Seasons,,SAC,NBA,,9,15,0,1,9,15,7,8,8,8,14,5,2,1,5,5,25,22.6
1 Season,,ATL,NBA,,3,10,0,1,3,10,4,6,2,4,4,3,2,1,3,3,8,5.5
1 Season,,PHI,NBA,,6,9,0,0,6,9,2,2,4,4,6,2,2,0,1,4,12,13.1
1 Season,,LAL,NBA,,6,12,0,0,6,12,4,6,4,4,7,4,2,1,3,4,16,12.5
