Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,25,CHI,NBA,SF,4,4,167,7.3,14.7,0.5,0,0,NA,7.3,14.7,0.5,3,3.9,0.778,1.3,1.5,2.8,1.7,1.3,0.2,2.6,4.1,17.7
1985-86,26,CHI,NBA,SF,3,3,135,6.7,16.5,0.403,0,0.3,0,6.7,16.3,0.41,3.5,4,0.867,1.6,2.1,3.7,1.1,0.8,0.3,1.1,3.2,16.8
1988-89,29,LAL,NBA,SF,15,0,276,5.1,9.8,0.52,0,0,NA,5.1,9.8,0.52,5.7,8.1,0.71,2.6,6.5,9.1,2.2,0.3,2,2.9,4.6,15.9
1989-90,30,LAL,NBA,SF,9,0,199,7.2,12.7,0.571,0,0.2,0,7.2,12.5,0.58,4.7,6.7,0.703,1.1,3.1,4.2,1.8,1.4,1.4,2,4.5,19.2
1991-92,32,DET,NBA,SF,5,5,128,6.5,14.6,0.442,0,0,NA,6.5,14.6,0.442,2.5,4.5,0.563,1.4,1.4,2.8,0.8,0.3,0.3,1.7,3.9,15.5
Career,NA,,NBA,,36,12,905,6.4,13,0.492,0,0.1,0,6.4,12.9,0.495,4.2,5.9,0.716,1.7,3.5,5.2,1.7,0.8,1,2.2,4.2,17
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,24,0,475,6,11,0.545,0,0.1,0,6,10.9,0.549,5.3,7.5,0.707,2,5.1,7,2,0.8,1.7,2.5,4.5,17.3
2 seasons,NA,CHI,NBA,,7,7,302,7,15.5,0.454,0,0.1,0,7,15.4,0.457,3.2,3.9,0.818,1.4,1.8,3.2,1.4,1.1,0.2,1.9,3.7,17.3
1 season,NA,DET,NBA,,5,5,128,6.5,14.6,0.442,0,0,NA,6.5,14.6,0.442,2.5,4.5,0.563,1.4,1.4,2.8,0.8,0.3,0.3,1.7,3.9,15.5
