,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1994-95,22,PHI,NBA,,11,21,0,1,11,21,7,12,7,8,15,3,3,7,6,6,23,19.6
1995-96,23,TOT,NBA,,10,21,1,1,10,21,13,17,7,10,15,4,3,4,8,6,30,20.2
1995-96,23,PHI,NBA,,10,19,0,0,10,19,12,15,7,10,15,4,3,3,5,6,30,20.2
1995-96,23,TOR,NBA,,9,21,1,1,9,21,13,17,6,6,9,3,1,4,8,6,25,18.8
1996-97,24,TOR,NBA,38:23,8,18,0,1,8,18,5,8,5,8,11,3,2,4,8,6,17,13.5
1997-98,25,TOR,NBA,8:36,2,4,0,0,2,4,1,2,1,2,3,2,0,0,1,3,4,4.3
Career,,,,38:23,11,21,1,1,11,21,13,17,7,10,15,4,3,7,8,6,30,20.2
2 Seasons,,PHI,NBA,,11,21,0,1,11,21,12,15,7,10,15,4,3,7,6,6,30,20.2
3 Seasons,,TOR,NBA,38:23,9,21,1,1,9,21,13,17,6,8,11,3,2,4,8,6,25,18.8
