Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2007-08,19,PHI,NBA,PF,6,6,160,8.4,17.4,0.48,0.3,1.7,0.2,8,15.7,0.511,4.2,4.9,0.857,5.2,4.2,9.4,1.4,2.4,0,1.4,2.4,21.3,NA,120,109
2008-09,20,PHI,NBA,PF,6,6,229,7.4,16.7,0.443,1.2,2.9,0.417,6.2,13.8,0.448,1.2,1.4,0.833,2.1,4.3,6.4,1.9,1.4,0.2,1.9,4,17.1,NA,99,111
2010-11,22,PHI,NBA,PF,5,0,127,11,26.4,0.417,0,0.4,0,11,25.9,0.424,3.1,5.3,0.583,7.5,5.3,12.7,1.8,1.8,0.4,3.1,5.7,25.1,NA,92,111
2011-12,23,PHI,NBA,PF,13,0,277,7.6,17.8,0.429,0,0,NA,7.6,17.8,0.429,4.3,6.1,0.71,4.9,8.4,13.3,2.9,1.4,1.4,2.9,4.9,19.6,NA,98,98
2014-15,26,BRK,NBA,PF,6,6,190,7.8,17.7,0.439,0,1.1,0,7.8,16.7,0.468,1.3,3.2,0.417,4.6,7,11.6,4.3,1.3,0.3,3.8,4,16.9,NA,90,108
2016-17,28,IND,NBA,PF,4,4,140,7.6,14.1,0.538,0.4,1.4,0.25,7.2,12.7,0.571,1.8,3.6,0.5,8,5.1,13,3.6,2.9,0.4,2.2,4,17.4,NA,123,118
2017-18,29,IND,NBA,PF,7,7,237,8,13.4,0.6,0.4,1.6,0.286,7.6,11.8,0.642,1.1,2.9,0.385,4.9,7.1,12.1,2.2,2.7,1.3,1.6,4.9,17.6,NA,123,102
2018-19,30,IND,NBA,PF,4,4,130,7,16.3,0.429,0.8,3.1,0.25,6.2,13.2,0.471,1.6,2.7,0.571,3.5,7.4,10.9,5.8,4.3,1.2,1.9,3.9,16.3,NA,101,98
Career,NA,,NBA,,51,33,1490,8,17.1,0.467,0.4,1.5,0.268,7.6,15.6,0.485,2.3,3.8,0.619,4.9,6.3,11.1,2.9,2.1,0.7,2.4,4.3,18.7,NA,104,106
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHI,NBA,,30,12,793,8.2,18.8,0.439,0.4,1.2,0.333,7.8,17.5,0.447,3.2,4.4,0.73,4.6,5.9,10.5,2.1,1.7,0.6,2.4,4.3,20.1,NA,101,106
3 seasons,NA,IND,NBA,,15,15,507,7.6,14.4,0.532,0.5,1.9,0.263,7.1,12.4,0.574,1.4,3.1,0.467,5.4,6.6,12,3.6,3.2,1,1.8,4.4,17.2,NA,116,105
1 season,NA,BRK,NBA,,6,6,190,7.8,17.7,0.439,0,1.1,0,7.8,16.7,0.468,1.3,3.2,0.417,4.6,7,11.6,4.3,1.3,0.3,3.8,4,16.9,NA,90,108
