,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2016-17,19,LAL,NBA,C,38,609,,,,,100%,-10.8,-4.3,13,10,47,5,21,0,71,5,24
2017-18,20,LAL,NBA,C,43,410,,,,,100%,+4.1,+6.2,8,11,25,5,22,0,58,3,12
2018-19,21,TOT,NBA,C,59,1040,,,,,100%,+1.5,+2.2,10,29,83,19,58,4,146,10,48
2018-19,21,LAL,NBA,C,33,516,,,,1%,99%,+1.0,+3.2,2,14,47,8,32,1,57,7,24
2018-19,21,LAC,NBA,C,26,524,,,,,100%,+2.1,+1.3,8,15,36,11,26,3,89,3,24
2019-20,22,LAC,NBA,C,64,1156,,,,,100%,+8.5,+3.2,17,13,103,14,64,1,166,11,27
Career,,,NBA,,204,3215,,,,,100%,+2.0,+1.9,48,63,258,43,165,5,441,29,111
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAL,NBA,,114,1535,,,,,100%,-2.9,+1.1,23,35,119,18,75,1,186,15,60
2 seasons,,LAC,NBA,,90,1680,,,,,100%,+6.5,+2.6,25,28,139,25,90,4,255,14,51
